review_id,k,scale,theta,I2,tau2,entropy,kl_divergence,mutual_info,fisher_info,norm_entropy_index,n_modes,skewness,kurtosis,entropy_class
CD000028,21,ratio,-0.2945,0,0,0.9257,62.9617,0.5867,252.68,0.0952,3,-1.946,7.993,Concentrated
CD000143,12,ratio,-0.3594,70.0,0.3053,1.6321,1.5746,0.6931,100.49,0.2927,3,-0.051,1.903,Concentrated
CD000219,21,ratio,-0.2367,35.7,0.0264,1.0291,11.6161,0.4297,477.45,0.1822,4,-1.117,14.263,Concentrated
CD000478,13,ratio,-0.3794,0,0,1.0728,45.3449,0.6172,147.66,0.1239,2,-0.741,2.782,Concentrated
CD000547,48,ratio,1.0673,70.7,0.7851,1.8558,0.5773,0.3882,151.61,0.1434,1,0.741,0.143,Concentrated
CD001155,59,ratio,-0.1339,40.5,0.1319,1.4631,3.1294,0.3784,312.75,0.1165,4,0.532,4.332,Concentrated
CD001321,27,ratio,-0.3496,66.2,0.1057,1.1458,2.4714,0.345,642.22,0.166,4,-1.759,3.6,Concentrated
CD001396,30,ratio,0.8946,28.4,0.0676,1.3134,7.4572,0.4882,178.96,0.1356,4,2.567,10.375,Concentrated
CD001431,61,ratio,-0.023,64.1,0.0353,1.0044,6.5344,0.4528,4350.03,0.1523,8,0.477,21.483,Concentrated
CD001533,21,ratio,-0.0658,16.1,0.0122,1.6852,68.9505,0.5618,600.11,0.1298,9,6.43,109.756,Concentrated
CD001552,3,ratio,0.743,79.1,0.2841,0.6515,0.3197,,185.31,0.3604,1,0,0,Moderate
CD001703,21,ratio,0.824,0,0,1.622,34.6418,0.7436,46.0,0.0893,1,0.499,1.186,Concentrated
CD001797,5,ratio,0.8166,0,0,1.3291,15.5622,0.673,35.41,0.1707,1,0.388,0.757,Concentrated
CD001837,49,ratio,0.2466,45.7,0.0328,0.7261,3.0387,0.403,1277.36,0.1449,3,0.874,3.307,Concentrated
CD001909,25,ratio,0.5526,0,0,1.398,90.9294,0.6309,168.47,0.0827,2,0.758,0.537,Concentrated
CD001920,4,ratio,0.2209,0,0,1.597,25.5505,,28.01,0.1121,1,4.235,17.213,Concentrated
CD002042,53,ratio,-0.5324,96.3,0.1024,0.4446,0.4916,0.3783,14204.1,0.267,3,-1.219,2.382,Concentrated
CD002052,3,ratio,-0.2223,0,0,1.214,1.8317,,8.45,0.0703,1,0,0,Concentrated
CD002112,21,ratio,0.2866,42.2,0.0275,0.8482,6.0097,0.8346,637.16,0.1673,3,2.166,10.652,Concentrated
CD002115,5,ratio,0.791,74.8,0.2031,0.9082,0.4407,0.673,164.98,0.3068,2,2.941,9.126,Moderate
CD002122,56,ratio,-0.2112,82.0,0.3445,1.9249,3.0109,0.2865,849.47,0.1827,2,-0.201,6.307,Concentrated
CD002203,50,ratio,-0.1308,38.8,0.104,1.3718,3.8948,0.2237,308.14,0.105,1,0.965,1.644,Concentrated
CD002243,180,ratio,-0.099,25.8,0.0111,0.8839,24.1566,0.2797,5802.52,0.0766,6,-1.529,11.887,Concentrated
CD002290,16,ratio,-0.4903,81.4,0.1187,0.7937,0.5171,0.9841,630.36,0.2858,1,-1.57,2.826,Concentrated
CD002303,5,ratio,0.438,57.2,0.0268,0.3048,0.8165,0.0138,376.13,0.2742,2,0.866,0.196,Concentrated
CD002971,10,ratio,-0.599,2.9,0.0126,1.6274,14.2416,0.9163,27.49,0.1297,1,-0.11,-0.532,Concentrated
CD003129,3,ratio,0.5131,0,0,0.4654,1.5096,,36.99,0.1877,1,0,0,Concentrated
CD003216,4,ratio,-0.2439,4.2,0.0083,1.4635,26.4509,,40.15,0.0986,1,-2.669,9.634,Concentrated
CD003218,5,ratio,0.5303,0,0,1.7855,5.6954,0.673,5.75,0.1464,2,2.146,3.487,Concentrated
CD003331,35,ratio,-0.0756,0,0,1.8083,60.9741,0.572,54.92,0.0734,2,-0.971,0.413,Concentrated
CD003333,4,ratio,0.0043,0,0,0.1165,11.047,,258.24,0.1675,1,0.678,6.641,Concentrated
CD003357,7,ratio,0.5704,66.9,0.2212,0.854,0.0916,0.4101,69.76,0.217,2,0.848,-1.095,Concentrated
CD003376,15,ratio,-0.277,0,0,1.87,24.6965,0.9154,21.01,0.1265,2,-0.929,0.206,Concentrated
CD003414,16,ratio,-0.0898,0,0,0.8956,19.3697,0.5182,117.6,0.1085,2,-1.238,0.927,Concentrated
CD003429,6,ratio,0.5499,0,0,1.8121,8.0309,0.6365,6.82,0.1032,2,1.295,0.197,Concentrated
CD003477,11,difference,-0.0477,31.6,0.0427,0.7664,1.2543,0.7904,121.71,0.1953,1,-0.329,-0.134,Concentrated
CD003511,8,ratio,-0.0984,0,0,0.9039,22.7628,0.6931,132.78,0.1294,2,-1.798,3.528,Concentrated
CD003519,15,ratio,0.209,35.4,0.0166,0.6354,5.9433,1.0078,554.02,0.1467,3,0.443,3.8,Concentrated
CD003594,11,ratio,-0.6409,45.7,0.7249,2.0778,0.9376,0.7904,15.26,0.2301,1,-0.455,1.431,Concentrated
CD003598,21,ratio,-0.1686,0,0,1.5329,201.0311,0.4546,286.88,0.1128,6,0.555,15.86,Concentrated
CD003743,6,ratio,-0.998,0,0,1.3419,4.4076,0.6365,12.74,0.0507,2,-1.01,3.841,Concentrated
CD003774,42,ratio,-0.8892,0,0,1.4014,95.6334,0.3528,174.99,0.0916,2,-0.438,0.973,Concentrated
CD003833,4,ratio,-0.3574,0,0,1.8815,2.3072,,2.73,0.1356,1,1.306,0.196,Concentrated
CD003962,6,ratio,-0.2292,0.1,0.0002,1.5852,43.819,0.4055,35.02,0.1256,2,3.296,13.048,Concentrated
CD004184,7,ratio,-0.1096,35.9,0.0397,1.2654,6.4448,0.8062,178.49,0.1604,4,-4.467,28.198,Concentrated
CD004307,42,ratio,0.4196,22.5,0.0343,1.3732,11.0224,0.2744,390.73,0.1067,3,-0.197,3.304,Concentrated
CD004376,104,ratio,-0.0254,0,0,1.4732,296.2313,0.2167,462.6,0.0739,4,0.597,3.058,Concentrated
